location,hour,minute,flow,speed
0019,15,30,1740,66
0019,15,32,1620,66
0019,15,34,1970,66
0019,15,36,1440,69
0019,15,38,1580,67
0019,15,40,1650,69
0019,15,42,1620,68
0019,15,44,1660,68
0019,15,46,1780,67
0019,15,48,1910,66
0019,15,50,1750,68
0019,15,52,1580,67
0019,15,54,1870,67
0019,15,56,1690,69
0019,15,58,1570,68
0019,16,0,1820,68
0019,16,2,1820,68
0019,16,4,1590,68
0019,16,6,1540,68
0019,16,8,1470,69
0019,16,10,1850,67
0019,16,12,1590,69
0019,16,14,1900,69
0019,16,16,1940,68
0019,16,18,1600,70
0019,16,20,1770,69
0019,16,22,1900,67
0019,16,24,1870,68
0019,16,26,1890,68
0019,16,28,1920,68
0019,16,30,1760,67
0019,16,32,1710,68
0019,16,34,1740,69
0019,16,36,1850,68
0019,16,38,2040,66
0019,16,40,1730,68
0019,16,42,2170,67
0019,16,44,1950,67
0019,16,46,2000,66
0019,16,48,1850,68
0019,16,50,2120,62
0019,16,52,2030,62
0019,16,54,2010,57
0019,16,56,1710,63
0019,16,58,2250,61
0019,17,0,2440,61
0019,17,2,2140,64
0019,17,4,1740,64
0019,17,6,2180,62
0019,17,8,2020,65
0019,17,10,1940,64
0019,17,12,2300,62
0019,17,14,2270,65
0019,17,16,2350,66
0019,17,18,2310,65
0019,17,20,2470,63
0019,17,22,2260,65
0019,17,24,2750,57
0019,17,26,2170,55
0019,17,28,2250,53
0019,17,30,2240,54
0019,17,32,2250,50
0019,17,34,2030,53
0019,17,36,2390,50
0019,17,38,2040,41
0019,17,40,1950,41
0019,17,42,2310,47
0019,17,44,1990,43
0019,17,46,2250,46
0019,17,48,2110,44
0019,17,50,2010,43
0019,17,52,2240,44
0019,17,54,2350,46
0019,17,56,2490,45
0019,17,58,1960,46
0019,18,0,2160,48
0019,18,2,2190,50
0019,18,4,2080,51
0019,18,6,2100,52
0019,18,8,2250,54
0019,18,10,2300,56
0019,18,12,2090,50
0019,18,14,2150,44
0019,18,16,2060,55
0019,18,18,2090,48
0019,18,20,2360,46
0019,18,22,2290,48
0019,18,24,2130,43
0019,18,26,1860,43
0019,18,28,1940,39
0021,15,30,1470,72
0021,15,32,1668,70
0021,15,34,2016,71
0021,15,36,1632,74
0021,15,38,1548,72
0021,15,40,1716,72
0021,15,42,1704,73
0021,15,44,1752,71
0021,15,46,1812,71
0021,15,48,1800,71
0021,15,50,1692,73
0021,15,52,1500,72
0021,15,54,1896,71
0021,15,56,1728,72
0021,15,58,1608,71
0021,16,0,1896,72
0021,16,2,1956,72
0021,16,4,1728,71
0021,16,6,1644,74
0021,16,8,1464,73
0021,16,10,1716,72
0021,16,12,1524,74
0021,16,14,1920,72
0021,16,16,1824,74
0021,16,18,1500,74
0021,16,20,1644,74
0021,16,22,2016,70
0021,16,24,1908,74
0021,16,26,1824,72
0021,16,28,1824,71
0021,16,30,1728,71
0021,16,32,1644,72
0021,16,34,1932,72
0021,16,36,1920,71
0021,16,38,1848,72
0021,16,40,1872,72
0021,16,42,2340,71
0021,16,44,1992,72
0021,16,46,2124,72
0021,16,48,1956,75
0021,16,50,2160,71
0021,16,52,2232,68
0021,16,54,1932,66
0021,16,56,1740,64
0021,16,58,2244,64
0021,17,0,2232,64
0021,17,2,1956,66
0021,17,4,1608,72
0021,17,6,2172,69
0021,17,8,2064,70
0021,17,10,2184,70
0021,17,12,2280,70
0021,17,14,2388,70
0021,17,16,2412,71
0021,17,18,2544,69
0021,17,20,2352,70
0021,17,22,2340,72
0021,17,24,2736,65
0021,17,26,2124,60
0021,17,28,2400,62
0021,17,30,2304,63
0021,17,32,2100,60
0021,17,34,2064,60
0021,17,36,2376,59
0021,17,38,2148,53
0021,17,40,2148,46
0021,17,42,2424,50
0021,17,44,2220,48
0021,17,46,2124,43
0021,17,48,1992,48
0021,17,50,2124,52
0021,17,52,2112,47
0021,17,54,2124,47
0021,17,56,2244,49
0021,17,58,2040,49
0021,18,0,2244,52
0021,18,2,2184,54
0021,18,4,2088,51
0021,18,6,1860,53
0021,18,8,2232,62
0021,18,10,2232,66
0021,18,12,2160,65
0021,18,14,2184,60
0021,18,16,1956,60
0021,18,18,2400,56
0021,18,20,2424,52
0021,18,22,2220,54
0021,18,24,2112,49
0021,18,26,2040,48
0021,18,28,1740,37
0023,15,30,1600,69
0023,15,32,1850,68
0023,15,34,1910,69
0023,15,36,1860,68
0023,15,38,1760,70
0023,15,40,1730,70
0023,15,42,2060,69
0023,15,44,1800,70
0023,15,46,1910,69
0023,15,48,1820,69
0023,15,50,1990,70
0023,15,52,1530,70
0023,15,54,2030,69
0023,15,56,1970,70
0023,15,58,1700,69
0023,16,0,1840,71
0023,16,2,1950,70
0023,16,4,1720,68
0023,16,6,1720,71
0023,16,8,1720,72
0023,16,10,1790,70
0023,16,12,1580,72
0023,16,14,2060,69
0023,16,16,1980,70
0023,16,18,1750,72
0023,16,20,1820,72
0023,16,22,2030,70
0023,16,24,1930,72
0023,16,26,2010,70
0023,16,28,1880,70
0023,16,30,1850,68
0023,16,32,1790,70
0023,16,34,1870,71
0023,16,36,1950,69
0023,16,38,2030,69
0023,16,40,1970,70
0023,16,42,2250,69
0023,16,44,2140,70
0023,16,46,2390,69
0023,16,48,2070,71
0023,16,50,2210,70
0023,16,52,2360,68
0023,16,54,2360,67
0023,16,56,2100,64
0023,16,58,2190,64
0023,17,0,2450,64
0023,17,2,1970,67
0023,17,4,1840,70
0023,17,6,2140,69
0023,17,8,2310,69
0023,17,10,2340,69
0023,17,12,2380,67
0023,17,14,2590,68
0023,17,16,2250,70
0023,17,18,2520,67
0023,17,20,2360,69
0023,17,22,2240,70
0023,17,24,2560,68
0023,17,26,2310,67
0023,17,28,2470,63
0023,17,30,2440,66
0023,17,32,2260,66
0023,17,34,2260,66
0023,17,36,2390,64
0023,17,38,2300,61
0023,17,40,2120,60
0023,17,42,2530,59
0023,17,44,2260,64
0023,17,46,2310,59
0023,17,48,2160,58
0023,17,50,2360,53
0023,17,52,2170,53
0023,17,54,2380,51
0023,17,56,2340,52
0023,17,58,2100,52
0023,18,0,2030,49
0023,18,2,2210,58
0023,18,4,2030,66
0023,18,6,1660,67
0023,18,8,2260,66
0023,18,10,2290,65
0023,18,12,2340,66
0023,18,14,2340,65
0023,18,16,1920,62
0023,18,18,2500,63
0023,18,20,2460,62
0023,18,22,2420,57
0023,18,24,2190,57
0023,18,26,1830,56
0023,18,28,1990,52
0025,15,30,1620,74
0025,15,32,1620,74
0025,15,34,1690,75
0025,15,36,1820,73
0025,15,38,1660,76
0025,15,40,1770,74
0025,15,42,1880,74
0025,15,44,1810,74
0025,15,46,1810,74
0025,15,48,1820,73
0025,15,50,1950,73
0025,15,52,1690,73
0025,15,54,1950,74
0025,15,56,1790,75
0025,15,58,1800,73
0025,16,0,1760,76
0025,16,2,1950,75
0025,16,4,1800,73
0025,16,6,1630,75
0025,16,8,1760,75
0025,16,10,1620,76
0025,16,12,1670,76
0025,16,14,2030,74
0025,16,16,2040,74
0025,16,18,1590,77
0025,16,20,1620,77
0025,16,22,1860,74
0025,16,24,1890,76
0025,16,26,1900,75
0025,16,28,1840,75
0025,16,30,1980,72
0025,16,32,1820,75
0025,16,34,1810,75
0025,16,36,1930,74
0025,16,38,1950,74
0025,16,40,1940,75
0025,16,42,2230,74
0025,16,44,2020,74
0025,16,46,2280,73
0025,16,48,2090,74
0025,16,50,2090,73
0025,16,52,2370,73
0025,16,54,2260,70
0025,16,56,2030,69
0025,16,58,2010,73
0025,17,0,2370,69
0025,17,2,2060,73
0025,17,4,1860,75
0025,17,6,2240,74
0025,17,8,2310,75
0025,17,10,2310,73
0025,17,12,2310,73
0025,17,14,2490,72
0025,17,16,2280,75
0025,17,18,2390,72
0025,17,20,2450,73
0025,17,22,2260,73
0025,17,24,2490,72
0025,17,26,2330,72
0025,17,28,2350,71
0025,17,30,2390,70
0025,17,32,2220,71
0025,17,34,2280,71
0025,17,36,2210,71
0025,17,38,2410,68
0025,17,40,2150,68
0025,17,42,2460,67
0025,17,44,2210,68
0025,17,46,2330,68
0025,17,48,2280,67
0025,17,50,2300,66
0025,17,52,2180,61
0025,17,54,2280,56
0025,17,56,2290,60
0025,17,58,2120,62
0025,18,0,2030,56
0025,18,2,1930,67
0025,18,4,1980,73
0025,18,6,1780,73
0025,18,8,2250,71
0025,18,10,2180,72
0025,18,12,2230,72
0025,18,14,2320,70
0025,18,16,1930,73
0025,18,18,2490,70
0025,18,20,2320,70
0025,18,22,2550,68
0025,18,24,1990,61
0025,18,26,1950,65
0025,18,28,1940,61
0027,15,30,1530,78
0027,15,32,1860,78
0027,15,34,1512,79
0027,15,36,1980,77
0027,15,38,1632,81
0027,15,40,1872,77
0027,15,42,1824,79
0027,15,44,1824,77
0027,15,46,1896,78
0027,15,48,1800,77
0027,15,50,2064,77
0027,15,52,1752,79
0027,15,54,1908,78
0027,15,56,2028,79
0027,15,58,2004,78
0027,16,0,1908,79
0027,16,2,1944,79
0027,16,4,1836,78
0027,16,6,1764,79
0027,16,8,1680,80
0027,16,10,1656,80
0027,16,12,1704,79
0027,16,14,2016,78
0027,16,16,2184,77
0027,16,18,1680,81
0027,16,20,1668,79
0027,16,22,1812,79
0027,16,24,1776,79
0027,16,26,1800,79
0027,16,28,1944,78
0027,16,30,1944,76
0027,16,32,2064,78
0027,16,34,1908,78
0027,16,36,2136,77
0027,16,38,1680,78
0027,16,40,2280,77
0027,16,42,2244,77
0027,16,44,1872,78
0027,16,46,2352,78
0027,16,48,2172,77
0027,16,50,1980,77
0027,16,52,2484,76
0027,16,54,2244,74
0027,16,56,2064,73
0027,16,58,2076,78
0027,17,0,2268,74
0027,17,2,2184,74
0027,17,4,1800,79
0027,17,6,2316,77
0027,17,8,2292,79
0027,17,10,2376,77
0027,17,12,2352,78
0027,17,14,2592,75
0027,17,16,2220,79
0027,17,18,2400,76
0027,17,20,2448,76
0027,17,22,2448,76
0027,17,24,2436,76
0027,17,26,2232,76
0027,17,28,2376,75
0027,17,30,2472,75
0027,17,32,2148,75
0027,17,34,2172,75
0027,17,36,2208,74
0027,17,38,2292,74
0027,17,40,2220,72
0027,17,42,2520,71
0027,17,44,2388,70
0027,17,46,2256,71
0027,17,48,2304,72
0027,17,50,2400,72
0027,17,52,2424,68
0027,17,54,2100,59
0027,17,56,2256,66
0027,17,58,2100,70
0027,18,0,2280,65
0027,18,2,2100,73
0027,18,4,2052,75
0027,18,6,1968,74
0027,18,8,2100,73
0027,18,10,2184,76
0027,18,12,2220,75
0027,18,14,2352,74
0027,18,16,1980,77
0027,18,18,2592,73
0027,18,20,2340,73
0027,18,22,2376,73
0027,18,24,1836,66
0027,18,26,1944,70
0027,18,28,1968,68
0028,15,30,300,80
0028,15,30,1620,75
0028,15,32,1960,75
0028,15,32,570,83
0028,15,34,370,83
0028,15,34,1930,76
0028,15,36,2050,75
0028,15,36,560,80
0028,15,38,2180,76
0028,15,38,470,84
0028,15,40,590,81
0028,15,40,2130,74
0028,15,42,2100,75
0028,15,42,550,82
0028,15,44,1900,76
0028,15,44,570,81
0028,15,46,660,81
0028,15,46,1990,75
0028,15,48,530,81
0028,15,48,2010,74
0028,15,50,750,80
0028,15,50,1930,75
0028,15,52,2020,75
0028,15,52,410,84
0028,15,54,1990,75
0028,15,54,540,82
0028,15,56,720,82
0028,15,56,2170,75
0028,15,58,2100,74
0028,15,58,640,81
0028,16,0,530,82
0028,16,0,1890,76
0028,16,2,2170,74
0028,16,2,500,83
0028,16,4,1930,75
0028,16,4,560,82
0028,16,6,530,82
0028,16,6,1960,75
0028,16,8,490,86
0028,16,8,2020,75
0028,16,10,420,85
0028,16,10,1850,75
0028,16,12,510,84
0028,16,12,1990,76
0028,16,14,640,80
0028,16,14,2030,76
0028,16,16,700,82
0028,16,16,2190,75
0028,16,18,460,82
0028,16,18,1970,75
0028,16,20,580,82
0028,16,20,1950,76
0028,16,22,1960,76
0028,16,22,510,82
0028,16,24,2070,75
0028,16,24,510,81
0028,16,26,650,82
0028,16,26,2040,76
0028,16,28,2170,75
0028,16,28,510,83
0028,16,30,2160,75
0028,16,30,550,82
0028,16,32,2190,76
0028,16,32,620,82
0028,16,34,540,84
0028,16,34,2170,74
0028,16,36,2290,74
0028,16,36,620,79
0028,16,38,530,81
0028,16,38,2190,75
0028,16,40,2260,74
0028,16,40,690,83
0028,16,42,640,82
0028,16,42,2220,75
0028,16,44,2010,75
0028,16,44,610,83
0028,16,46,860,79
0028,16,46,2380,74
0028,16,48,830,81
0028,16,48,2160,74
0028,16,50,680,81
0028,16,50,2240,74
0028,16,52,890,81
0028,16,52,2200,73
0028,16,54,780,82
0028,16,54,2350,74
0028,16,56,800,80
0028,16,56,2090,73
0028,16,58,580,83
0028,16,58,2360,74
0028,17,0,910,79
0028,17,0,2320,73
0028,17,2,710,79
0028,17,2,2320,73
0028,17,4,680,83
0028,17,4,2060,75
0028,17,6,810,82
0028,17,6,2280,75
0028,17,8,2370,74
0028,17,8,860,83
0028,17,10,930,80
0028,17,10,2380,74
0028,17,12,960,82
0028,17,12,2430,73
0028,17,14,950,78
0028,17,14,2490,72
0028,17,16,800,82
0028,17,16,2410,75
0028,17,18,2320,72
0028,17,18,840,80
0028,17,20,910,80
0028,17,20,2340,74
0028,17,22,1000,80
0028,17,22,2540,74
0028,17,24,2470,74
0028,17,24,850,82
0028,17,26,2430,73
0028,17,26,880,82
0028,17,28,2380,74
0028,17,28,800,80
0028,17,30,910,80
0028,17,30,2430,73
0028,17,32,790,79
0028,17,32,2390,74
0028,17,34,780,80
0028,17,34,2590,73
0028,17,36,830,78
0028,17,36,2350,72
0028,17,38,810,80
0028,17,38,2400,72
0028,17,40,2430,73
0028,17,40,660,80
0028,17,42,960,78
0028,17,42,2530,73
0028,17,44,790,78
0028,17,44,2130,72
0028,17,46,860,77
