location,hour,minute,flow,speed
0019,15,30,1584,68
0019,15,32,1654,68
0019,15,34,1400,68
0019,15,36,1450,68
0019,15,38,1543,68
0019,15,40,1337,68
0019,15,42,1510,68
0019,15,44,1757,69
0019,15,46,1851,69
0019,15,48,1346,68
0019,15,50,1740,68
0019,15,52,1730,68
0019,15,54,1509,68
0019,15,56,1670,69
0019,15,58,1490,68
0019,16,0,1530,68
0019,16,2,1697,69
0019,16,4,1340,69
0019,16,6,1630,67
0019,16,8,1671,68
0019,16,10,1740,69
0019,16,12,1650,69
0019,16,14,1749,69
0019,16,16,1940,68
0019,16,18,1894,69
0019,16,20,1706,69
0019,16,22,1970,66
0019,16,24,1946,67
0019,16,26,1594,70
0019,16,28,1663,69
0019,16,30,1843,69
0019,16,32,1791,69
0019,16,34,1812,69
0019,16,36,1910,67
0019,16,38,1526,70
0019,16,40,1840,69
0019,16,42,1903,62
0019,16,44,1780,67
0019,16,46,2200,68
0019,16,48,1870,67
0019,16,50,2030,68
0019,16,52,2060,68
0019,16,54,2140,67
0019,16,56,2383,65
0019,16,58,1970,67
0019,17,0,1954,64
0019,17,2,1990,69
0019,17,4,1910,62
0019,17,6,2126,61
0019,17,8,2091,52
0019,17,10,1910,53
0019,17,12,2260,52
0019,17,14,2383,55
0019,17,16,2140,48
0019,17,18,2134,48
0019,17,20,2091,37
0019,17,22,1997,38
0019,17,24,2300,37
0019,17,26,2597,39
0019,17,28,1920,35
0019,17,30,2143,36
0019,17,32,2190,29
0019,17,34,2040,30
0019,17,36,2091,34
0019,17,38,2229,32
0019,17,40,2580,30
0019,17,42,2070,30
0019,17,44,1632,19
0019,17,46,2211,26
0019,17,48,2180,27
0019,17,50,2254,31
0019,17,52,2340,33
0019,17,54,2109,36
0019,17,56,1851,36
0019,17,58,2250,39
0019,18,0,2240,43
0019,18,2,2260,46
0019,18,4,1940,50
0019,18,6,2000,48
0019,18,8,2124,45
0019,18,10,2120,49
0019,18,12,2270,46
0019,18,14,2370,48
0019,18,16,2140,44
0019,18,18,2080,50
0019,18,20,2040,50
0019,18,22,2030,50
0019,18,24,1911,51
0019,18,26,2250,51
0019,18,28,2100,47
0021,15,30,1440,71
0021,15,32,1500,72
0021,15,34,1560,73
0021,15,36,1540,73
0021,15,38,1720,72
0021,15,40,1400,72
0021,15,42,1760,72
0021,15,44,1960,73
0021,15,46,1980,72
0021,15,48,1400,71
0021,15,50,1680,70
0021,15,52,1680,71
0021,15,54,1600,70
0021,15,56,1720,74
0021,15,58,1500,72
0021,16,0,1580,73
0021,16,2,1920,72
0021,16,4,1600,74
0021,16,6,1740,71
0021,16,8,1560,70
0021,16,10,1420,72
0021,16,12,1620,73
0021,16,14,1660,74
0021,16,16,1880,72
0021,16,18,2180,72
0021,16,20,1880,73
0021,16,22,2120,70
0021,16,24,1820,71
0021,16,26,1820,74
0021,16,28,1660,76
0021,16,30,1820,75
0021,16,32,1820,72
0021,16,34,1620,75
0021,16,36,1920,72
0021,16,38,1300,74
0021,16,40,1700,72
0021,16,42,1960,73
0021,16,44,2040,72
0021,16,46,2360,70
0021,16,48,1760,73
0021,16,50,2000,73
0021,16,52,2120,72
0021,16,54,2300,72
0021,16,56,2380,72
0021,16,58,1980,71
0021,17,0,1780,73
0021,17,2,1860,72
0021,17,4,1840,72
0021,17,6,2240,71
0021,17,8,2200,68
0021,17,10,2080,69
0021,17,12,2000,67
0021,17,14,2240,66
0021,17,16,2040,68
0021,17,18,2480,61
0021,17,20,2300,45
0021,17,22,2000,27
0021,17,24,2200,24
0021,17,26,2620,35
0021,17,28,2480,26
0021,17,30,2100,18
0021,17,32,2040,22
0021,17,34,2040,21
0021,17,36,1820,18
0021,17,38,2140,20
0021,17,40,2520,26
0021,17,42,2240,21
0021,17,44,2520,27
0021,17,46,2100,24
0021,17,48,2160,23
0021,17,50,2260,30
0021,17,52,2180,31
0021,17,54,1860,36
0021,17,56,2320,39
0021,17,58,2400,34
0021,18,0,2180,43
0021,18,2,2340,48
0021,18,4,2240,54
0021,18,6,1980,55
0021,18,8,2200,50
0021,18,10,1840,50
0021,18,12,2100,53
0021,18,14,2400,52
0021,18,16,2140,50
0021,18,18,1860,54
0021,18,20,1900,54
0021,18,22,1660,55
0021,18,24,1600,52
0021,18,26,2100,54
0021,18,28,2020,54
0023,15,30,1800,68
0023,15,32,1646,69
0023,15,34,1431,70
0023,15,36,1731,68
0023,15,38,1526,71
0023,15,40,1543,70
0023,15,42,1689,71
0023,15,44,1809,72
0023,15,46,1877,70
0023,15,48,1517,69
0023,15,50,1834,69
0023,15,52,1886,70
0023,15,54,1740,70
0023,15,56,1560,71
0023,15,58,1791,68
0023,16,0,1757,71
0023,16,2,1740,71
0023,16,4,1637,71
0023,16,6,1740,70
0023,16,8,1714,70
0023,16,10,1560,72
0023,16,12,1834,71
0023,16,14,1860,71
0023,16,16,1800,71
0023,16,18,1911,71
0023,16,20,1783,70
0023,16,22,2169,69
0023,16,24,1903,70
0023,16,26,1774,70
0023,16,28,1706,71
0023,16,30,1894,71
0023,16,32,1594,70
0023,16,34,1714,71
0023,16,36,1946,69
0023,16,38,1714,71
0023,16,40,1723,71
0023,16,42,1817,71
0023,16,44,2031,70
0023,16,46,2186,70
0023,16,48,1929,69
0023,16,50,2169,70
0023,16,52,2203,70
0023,16,54,2254,70
0023,16,56,2409,70
0023,16,58,1963,70
0023,17,0,1989,71
0023,17,2,2186,70
0023,17,4,2066,71
0023,17,6,1980,70
0023,17,8,2040,70
0023,17,10,1929,68
0023,17,12,2271,63
0023,17,14,2229,63
0023,17,16,2186,63
0023,17,18,2417,64
0023,17,20,2237,63
0023,17,22,2289,55
0023,17,24,2263,47
0023,17,26,2357,47
0023,17,28,2349,50
0023,17,30,2126,45
0023,17,32,2263,45
0023,17,34,2100,41
0023,17,36,2254,39
0023,17,38,2220,40
0023,17,40,2537,40
0023,17,42,2297,34
0023,17,44,2246,40
0023,17,46,2049,43
0023,17,48,2109,35
0023,17,50,2211,37
0023,17,52,2211,39
0023,17,54,2066,40
0023,17,56,2349,38
0023,17,58,2203,38
0023,18,0,2263,46
0023,18,2,2220,50
0023,18,4,2246,55
0023,18,6,2151,54
0023,18,8,2409,55
0023,18,10,2117,52
0023,18,12,2203,54
0023,18,14,2306,54
0023,18,16,2177,57
0023,18,18,2031,58
0023,18,20,1971,59
0023,18,22,2066,58
0023,18,24,1997,55
0023,18,26,1886,54
0023,18,28,2100,56
0025,15,30,1764,73
0025,15,32,1706,73
0025,15,34,1371,75
0025,15,36,1706,74
0025,15,38,1466,75
0025,15,40,1603,75
0025,15,42,1663,74
0025,15,44,1714,76
0025,15,46,1809,75
0025,15,48,1603,74
0025,15,50,1671,74
0025,15,52,1757,76
0025,15,54,1654,74
0025,15,56,1603,75
0025,15,58,1834,73
0025,16,0,1740,77
0025,16,2,1534,76
0025,16,4,1449,76
0025,16,6,1680,75
0025,16,8,1637,75
0025,16,10,1423,76
0025,16,12,1723,76
0025,16,14,1860,75
0025,16,16,1774,76
0025,16,18,1826,76
0025,16,20,1577,76
0025,16,22,2091,74
0025,16,24,1731,76
0025,16,26,1766,75
0025,16,28,1740,76
0025,16,30,1886,75
0025,16,32,1654,74
0025,16,34,1714,76
0025,16,36,1817,73
0025,16,38,1783,77
0025,16,40,1766,75
0025,16,42,1740,76
0025,16,44,2057,76
0025,16,46,2160,75
0025,16,48,1971,74
0025,16,50,2289,75
0025,16,52,2066,74
0025,16,54,2203,75
0025,16,56,2349,74
0025,16,58,2057,73
0025,17,0,1843,75
0025,17,2,2083,75
0025,17,4,2023,75
0025,17,6,2006,75
0025,17,8,2109,74
0025,17,10,1954,74
0025,17,12,2374,72
0025,17,14,2194,73
0025,17,16,2237,70
0025,17,18,2246,70
0025,17,20,2177,72
0025,17,22,2323,65
0025,17,24,2237,58
0025,17,26,2374,59
0025,17,28,2151,61
0025,17,30,2143,58
0025,17,32,2100,55
0025,17,34,2246,53
0025,17,36,2134,46
0025,17,38,2126,43
0025,17,40,2391,47
0025,17,42,2357,43
0025,17,44,2074,52
0025,17,46,2014,53
0025,17,48,2177,47
0025,17,50,2151,40
0025,17,52,2151,50
0025,17,54,2211,53
0025,17,56,2391,48
0025,17,58,2117,49
0025,18,0,2374,55
0025,18,2,1989,56
0025,18,4,2297,60
0025,18,6,2143,61
0025,18,8,2340,59
0025,18,10,2177,58
0025,18,12,2040,59
0025,18,14,2186,61
0025,18,16,2100,67
0025,18,18,1971,62
0025,18,20,2049,66
0025,18,22,2143,64
0025,18,24,2177,64
0025,18,26,1809,62
0025,18,28,2006,64
0027,15,30,1740,78
0027,15,32,1520,76
0027,15,34,1260,81
0027,15,36,1860,76
0027,15,38,1840,79
0027,15,40,1720,78
0027,15,42,1700,79
0027,15,44,1780,78
0027,15,46,2060,78
0027,15,48,1720,79
0027,15,50,1700,77
0027,15,52,2020,78
0027,15,54,2160,76
0027,15,56,1840,79
0027,15,58,2000,75
0027,16,0,1960,81
0027,16,2,1680,80
0027,16,4,1840,78
0027,16,6,1740,78
0027,16,8,1620,78
0027,16,10,1460,78
0027,16,12,1620,78
