location,hour,minute,flow,speed,maxspeed
0019,15,30,1650,71,72
0019,15,32,1605,68,72
0019,15,34,1590,68,69
0019,15,36,1515,67,70
0019,15,38,1830,66,70
0019,15,40,1650,66,67
0019,15,42,1845,68,73
0019,15,44,1515,67,70
0019,15,46,1620,69,70
0019,15,48,1650,67,69
0019,15,50,1470,67,70
0019,15,52,1590,67,72
0019,15,54,1755,66,68
0019,15,56,1440,69,72
0019,15,58,1155,68,73
0019,16,0,1575,69,72
0019,16,2,1665,68,70
0019,16,4,1425,69,70
0019,16,6,1470,67,68
0019,16,8,1605,68,70
0019,16,10,1680,67,70
0019,16,12,1545,67,70
0019,16,14,1530,68,74
0019,16,16,1395,68,74
0019,16,18,1845,67,69
0019,16,20,1710,66,68
0019,16,22,1590,69,74
0019,16,24,1530,69,70
0019,16,26,1890,68,69
0019,16,28,1395,69,73
0019,16,30,1440,69,76
0019,16,32,1470,70,82
0019,16,34,1380,68,68
0019,16,36,1695,69,71
0019,16,38,1470,66,70
0019,16,40,1455,68,70
0019,16,42,1545,69,72
0019,16,44,1620,68,70
0019,16,46,1590,68,71
0019,16,48,1605,70,74
0019,16,50,1710,68,72
0019,16,52,1635,67,68
0019,16,54,1575,69,70
0019,16,56,1800,69,72
0019,16,58,1440,69,70
0019,17,0,1485,69,72
0019,17,2,1650,68,70
0019,17,4,1605,66,66
0019,17,6,1845,66,70
0019,17,8,1410,68,70
0019,17,10,1515,69,72
0019,17,12,1695,69,70
0019,17,14,1485,68,72
0019,17,16,1695,68,70
0019,17,18,1665,67,69
0019,17,20,1860,67,69
0019,17,22,1950,66,68
0019,17,24,2025,66,71
0019,17,26,1710,66,68
0019,17,28,1770,69,71
0019,17,30,1755,66,70
0019,17,32,1635,68,71
0019,17,34,1740,68,69
0019,17,36,1680,67,68
0019,17,38,1650,67,68
0019,17,40,1740,68,71
0019,17,42,1635,68,72
0019,17,44,1500,67,69
0019,17,46,1680,68,76
0019,17,48,1515,66,68
0019,17,50,1455,67,73
0019,17,52,1425,68,70
0019,17,54,1470,68,72
0019,17,56,1620,68,70
0019,17,58,1590,67,70
0019,18,0,1635,66,68
0019,18,2,1290,70,74
0019,18,4,1515,65,68
0019,18,6,1455,68,72
0019,18,8,1635,66,68
0019,18,10,1545,67,70
0019,18,12,1335,69,72
0019,18,14,1335,67,68
0019,18,16,1575,66,66
0019,18,18,1275,67,70
0019,18,20,1350,67,72
0019,18,22,1485,67,72
0019,18,24,1515,65,66
0019,18,26,1230,72,78
0019,18,28,1185,68,68
0021,15,30,1530,74,76
0021,15,32,1590,71,74
0021,15,34,1755,71,73
0021,15,36,1650,72,74
0021,15,38,1800,72,77
0021,15,40,1695,70,72
0021,15,42,1845,72,76
0021,15,44,1515,72,76
0021,15,46,1590,72,76
0021,15,48,1860,71,73
0021,15,50,1650,73,78
0021,15,52,1725,72,77
0021,15,54,1860,70,73
0021,15,56,1485,72,74
0021,15,58,1245,72,74
0021,16,0,1710,73,76
0021,16,2,1620,73,74
0021,16,4,1455,72,76
0021,16,6,1410,71,72
0021,16,8,1755,72,74
0021,16,10,1680,73,76
0021,16,12,1590,72,76
0021,16,14,1605,72,76
0021,16,16,1410,73,76
0021,16,18,1950,72,74
0021,16,20,1770,70,74
0021,16,22,1395,72,78
0021,16,24,1695,72,73
0021,16,26,1965,72,74
0021,16,28,1560,74,76
0021,16,30,1455,73,80
0021,16,32,1545,74,80
0021,16,34,1500,73,75
0021,16,36,1710,72,74
0021,16,38,1635,71,76
0021,16,40,1530,73,74
0021,16,42,1500,72,72
0021,16,44,1605,71,74
0021,16,46,1500,72,74
0021,16,48,1395,74,76
0021,16,50,1755,73,76
0021,16,52,1635,72,74
0021,16,54,1650,73,77
0021,16,56,1785,72,75
0021,16,58,1515,72,74
0021,17,0,1650,73,78
0021,17,2,1575,73,75
0021,17,4,1605,72,73
0021,17,6,1845,71,75
0021,17,8,1605,71,75
0021,17,10,1605,73,74
0021,17,12,1695,74,76
0021,17,14,1545,72,77
0021,17,16,1785,73,75
