19,1920,1980,1680,2040,1020,2280,1860,2220,2100,1860,1980,1440,2520,2460,1860,2400,2340,1440,1980,1440,2280,1560,1560,2340,1380,1680,1680,1920,2040,1980,2400,2460,1740,2940,2040,2280,1920,1980,1740,1920,1860,1140,2400,1920,2280,1980,2700,2160,1980,1560,1800,1740,2340,1620,1920
21,1920,2040,2040,2220,1860,1800,1980,2520,1920,1920,1680,1680,2400,2040,1980,2160,2340,1920,1980,2100,1980,1680,2340,1500,1980,1500,1860,1680,1860,2220,2340,2640,2220,2100,2340,2340,2220,1980,1800,2100,1680,1920,1620,2460,1800,2340,2400,2400,2040,1920,1440,1980,2280,1800,1860
23,1680,2100,2400,2400,2400,2100,1800,1980,2340,1440,1740,1860,1860,2340,1920,1980,2520,2040,1980,1740,2160,2340,1860,1860,1860,2340,2160,1860,2160,2040,2280,2700,2280,2220,2220,2160,2100,2160,2400,1680,2220,1980,1680,1560,2460,1920,2580,2580,2340,1680,2160,1200,2220,2160,1440
25,1680,1920,2400,2160,2340,2220,1500,2100,2160,1380,1860,2040,1620,2340,1560,2340,2100,1980,2100,1620,2280,2040,1680,1860,1860,2100,2160,2220,2220,2580,1980,2580,1920,2160,2640,1560,1980,2520,2400,1920,2100,2340,1500,1680,2040,2160,2400,2160,2340,1860,1500,1620,1800,2220,2160
27,1800,2280,2280,2340,2220,2100,1920,2160,1980,1740,1680,2040,1860,2460,1800,2280,2220,1920,2340,1440,2400,2160,1680,2160,1740,2460,1860,2400,2340,2760,2220,2100,2340,2220,2280,1560,2400,2460,2460,1920,2100,2280,1980,2460,1620,2340,1740,2220,2280,1980,1740,1620,1740,2400,2160
28,600,2160,840,1860,2280,780,2160,1140,2280,660,360,2400,360,2220,2220,720,1920,840,1680,540,2100,480,300,2280,2580,720,840,2400,2400,660,2160,840,2100,540,720,2220,2580,600,1620,540,780,2760,960,1860,480,2340,1620,720,2400,660,780,2220,2220,540,2820,780,2760,780,2460,1020,1980,600,420,1980,2460,1020,1860,720,960,2520,1620,420,840,2580,960,2400,1080,2640,480,2280,1860,960,2460,1080,2520,600,1080,2700,780,2100,2640,1020,2880,480,960,2400,780,2220,420,2340,2040,420,2220,360,2760,480,840,3060,900,2580
31,2760,2400,3300,3060,3060,2220,2760,3060,2460,2460,2220,2760,2940,3240,2760,3180,2400,3000,3120,2520,2580,3300,2760,2340,2760,3360,2700,3480,3360,3240,2520,2700,3120,2940,3060,2100,3300,3780,3420,2280,3180,3120,3480,3420,2760,2880,3300,3540,2940,2280,2520,2580,3660,3840,3420
34,2340,2700,3120,3300,3180,2460,2760,3120,2160,2280,2460,3000,3540,2580,2940,3120,2760,3120,2460,3000,3120,2760,2340,2820,2700,3420,3060,3480,3540,3000,2280,3240,3300,3300,2280,2700,3600,3660,3180,2400,3300,3000,3660,3480,3300,3000,3420,3540,2520,2400,2400,3240,3540,4140,3000
36,3600,4320,4020,4740,4020,3420,4080,4080,3540,3480,3840,3600,4620,3720,4020,4740,3540,4260,3240,4020,4080,3540,3540,3420,3960,4080,3420,4800,4500,3660,3300,4680,4380,3960,2580,3660,4680,4740,4020,3360,4500,4140,4680,4260,4680,4620,4260,4620,3660,3240,3420,4620,4440,5460,3960
40,3780,4140,4200,4500,3840,3540,4140,3900,3840,3600,3540,4080,4320,4140,4380,4200,3780,4380,2940,4440,3900,3540,3120,3540,4260,3480,4380,4800,4320,3360,3720,4500,3720,3840,2820,4440,4200,5100,3960,3660,4380,4140,4980,4500,4500,4440,4500,4020,3420,3660,3420,4740,4920,4680,3960
